ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-11-13 00:00:00+00:00,35,1,2703287,-1.3,-1.3,-1.3,-1.3,2,UD:1V: GN 2703287
2025-11-13 00:00:00+00:00,35,1,2854577,48.5,48.5,48.5,48.5,50,UD:1V: GN 2854577
2025-11-13 00:00:00+00:00,35,1,2858587,-2.5,-2.5,-2.5,-2.5,1,UD:1V: 3W 2858587
2025-11-13 00:00:00+00:00,35,1,2619534,9.5,9.5,9.5,9.5,1,UD:1V: VT 2619534
2025-11-13 00:00:00+00:00,35,1,2777233,-1.6,-1.6,-1.6,-1.6,1,UD:1V: 12 2777233
2025-11-13 00:00:00+00:00,35,1,2601034,6.0,6.0,6.0,6.0,5,UD:1V: GN 2601034
2025-11-13 00:00:00+00:00,35,1,2771763,-44.0,-44.0,-44.0,-44.0,2,UD:1V: GN 2771763
2025-11-13 00:00:00+00:00,35,1,2624063,4.5,5.5,4.5,5.5,2,UD:1V: BO 2624063
2025-11-13 00:00:00+00:00,35,1,2859785,74.75,75.75,74.75,75.75,93,UD:1V: VT 2859785
2025-11-13 00:00:00+00:00,35,1,2719358,19.75,19.75,19.75,19.75,20,UD:1V: RR 2719358
2025-11-13 00:00:00+00:00,35,1,2624728,15.75,23.0,15.75,23.0,1054,UD:1V: VT 2624728
2025-11-13 00:00:00+00:00,35,1,2857274,87.75,87.75,87.75,87.75,1,UD:1V: VT 2857274
2025-11-13 00:00:00+00:00,35,1,2776671,-2.05,-2.05,-2.05,-2.05,1,UD:1V: 3W 2776671
2025-11-13 00:00:00+00:00,35,1,2855210,14.5,14.75,14.25,14.25,75,UD:1V: VT 2855210
2025-11-13 00:00:00+00:00,35,1,2625015,29.75,29.75,29.75,29.75,250,UD:1V:CFO 2625015
2025-11-13 00:00:00+00:00,35,1,2601246,30.5,30.5,21.75,21.75,26,UD:1V: BO 2601246
2025-11-13 00:00:00+00:00,35,1,2631844,17.75,17.75,17.75,17.75,1,UD:1V: VT 2631844
2025-11-13 00:00:00+00:00,35,1,2603549,6.0,8.0,6.0,8.0,4,UD:1V: GN 2603549
2025-11-13 00:00:00+00:00,35,1,2770184,-5.55,-4.95,-5.55,-4.95,99,UD:1V: GN 2770184
2025-11-13 00:00:00+00:00,35,1,2627194,147.0,147.0,147.0,147.0,1,UD:1V: VT 2627194
2025-11-13 00:00:00+00:00,35,1,2703665,17.75,17.75,17.75,17.75,10,UD:1V: BO 2703665
2025-11-13 00:00:00+00:00,35,1,2770465,51.5,51.5,48.25,48.25,71,UD:1V: VT 2770465
2025-11-13 00:00:00+00:00,35,1,2702466,15.25,15.25,15.25,15.25,25,UD:1V: 12 2702466
2025-11-13 00:00:00+00:00,35,1,2598691,23.0,23.25,21.25,21.25,46,UD:1V: VT 2598691
2025-11-13 00:00:00+00:00,35,1,2601121,4.8,4.8,4.8,4.8,1,UD:1V: VT 2601121
2025-11-13 00:00:00+00:00,35,1,2600139,18.0,18.0,18.0,18.0,2,UD:1V: GN 2600139
2025-11-13 00:00:00+00:00,35,1,2777580,30.5,31.0,30.5,31.0,47,UD:1V: VT 2777580
2025-11-13 00:00:00+00:00,35,1,2856638,3.5,3.5,3.5,3.5,1,UD:1V: VT 2856638
2025-11-13 00:00:00+00:00,35,1,2797600,3.7,3.7,3.5,3.5,2,UD:1V: GN 2797600
2025-11-13 00:00:00+00:00,35,1,2624625,35.75,35.75,35.75,35.75,1,UD:1V: SG 2624625
2025-11-13 00:00:00+00:00,35,1,2854034,100.5,100.5,100.5,100.5,200,UD:1V:CVT 2854034
2025-11-13 00:00:00+00:00,35,1,2627467,53.0,53.0,53.0,53.0,1,UD:1V: SG 2627467
2025-11-13 00:00:00+00:00,35,1,2771793,5.8,5.85,5.8,5.85,2,UD:1V: VT 2771793
