ts_recv,ts_event,rtype,publisher_id,instrument_id,ts_ref,price,quantity,sequence,ts_in_delta,stat_type,channel_id,update_action,stat_flags,symbol
2025-11-13T01:07:44.974365867Z,2025-11-13T01:07:44.973953811Z,24,1,294973,,6880.000000000,9223372036854775807,38812143,13844,5,0,1,0,ESZ5
2025-11-13T01:07:44.974993759Z,2025-11-13T01:07:44.974789821Z,24,1,294973,,6880.000000000,9223372036854775807,38812158,12415,8,0,1,0,ESZ5
2025-11-13T01:07:44.975660340Z,2025-11-13T01:07:44.975359823Z,24,1,42140878,,6940.750000000,9223372036854775807,38812174,13222,8,0,1,0,ESH6
2025-11-13T01:07:44.983817539Z,2025-11-13T01:07:44.983485079Z,24,1,294973,,6880.250000000,9223372036854775807,38812222,13000,5,0,1,0,ESZ5
2025-11-13T01:07:44.984058386Z,2025-11-13T01:07:44.983693869Z,24,1,294973,,6880.250000000,9223372036854775807,38812226,11862,8,0,1,0,ESZ5
2025-11-13T01:07:44.984377198Z,2025-11-13T01:07:44.984005989Z,24,1,294973,,6880.500000000,9223372036854775807,38812239,12428,5,0,1,0,ESZ5
2025-11-13T01:07:44.984419589Z,2025-11-13T01:07:44.984064451Z,24,1,42140878,,6941.000000000,9223372036854775807,38812245,12219,8,0,1,0,ESH6
2025-11-13T01:07:44.991518117Z,2025-11-13T01:07:44.991246777Z,24,1,42140878,,6942.750000000,9223372036854775807,38812306,12294,5,0,1,0,ESH6
2025-11-13T01:07:45.157488425Z,2025-11-13T01:07:45.157402195Z,24,1,42140864,,6995.000000000,9223372036854775807,38812572,12762,8,0,1,0,ESM6
2025-11-13T01:07:45.184163545Z,2025-11-13T01:07:45.184064023Z,24,1,294973,,6880.500000000,9223372036854775807,38812595,11386,8,0,1,0,ESZ5
2025-11-13T01:07:45.184462813Z,2025-11-13T01:07:45.184350529Z,24,1,42140878,,6941.250000000,9223372036854775807,38812617,14294,8,0,1,0,ESH6
2025-11-13T01:07:45.285619616Z,2025-11-13T01:07:45.285260635Z,24,1,294973,,6880.750000000,9223372036854775807,38812737,14482,5,0,1,0,ESZ5
2025-11-13T01:07:45.285619616Z,2025-11-13T01:07:45.285307731Z,24,1,294973,,6880.750000000,9223372036854775807,38812737,14482,8,0,1,0,ESZ5
2025-11-13T01:07:45.285730010Z,2025-11-13T01:07:45.285627493Z,24,1,42140878,,6941.500000000,9223372036854775807,38812745,11873,8,0,1,0,ESH6
2025-11-13T01:07:45.285832026Z,2025-11-13T01:07:45.285671093Z,24,1,42140864,,6995.250000000,9223372036854775807,38812757,12007,8,0,1,0,ESM6
2025-11-13T01:07:45.341206932Z,2025-11-13T01:07:45.341097055Z,24,1,42140864,,6995.500000000,9223372036854775807,38812859,14748,8,0,1,0,ESM6
2025-11-13T01:07:45.549372910Z,2025-11-13T01:07:45.549119187Z,24,1,294973,,6881.000000000,9223372036854775807,38812965,11637,5,0,1,0,ESZ5
2025-11-13T01:07:46.712282800Z,2025-11-13T01:07:46.712189347Z,24,1,294973,,6881.000000000,9223372036854775807,38813393,11503,8,0,1,0,ESZ5
2025-11-13T01:07:47.697284071Z,2025-11-13T01:07:47.697157251Z,24,1,42007065,,61.500000000,9223372036854775807,38813655,13365,8,0,1,0,ESZ5-ESH6
2025-11-13T01:07:47.697405473Z,2025-11-13T01:07:47.697303567Z,24,1,42006622,,116.000000000,9223372036854775807,38813657,11649,8,0,1,0,ESZ5-ESM6
2025-11-13T01:07:47.697414770Z,2025-11-13T01:07:47.697304527Z,24,1,42018017,,54.500000000,9223372036854775807,38813658,11603,8,0,1,0,ESH6-ESM6
2025-11-13T01:07:48.729135383Z,2025-11-13T01:07:48.729030325Z,24,1,42140864,,6995.750000000,9223372036854775807,38813867,11897,8,0,1,0,ESM6
2025-11-13T01:07:49.410754615Z,2025-11-13T01:07:49.410659857Z,24,1,42140864,,6996.000000000,9223372036854775807,38813945,11355,8,0,1,0,ESM6
2025-11-13T01:07:49.567505347Z,2025-11-13T01:07:49.567230383Z,24,1,294973,,6881.250000000,9223372036854775807,38814019,11561,5,0,1,0,ESZ5
2025-11-13T01:07:52.217029232Z,2025-11-13T01:07:52.216939029Z,24,1,42140864,,6996.250000000,9223372036854775807,38814542,11456,8,0,1,0,ESM6
2025-11-13T01:07:53.567372243Z,2025-11-13T01:07:53.567223457Z,24,1,294973,,6881.250000000,9223372036854775807,38814768,12621,8,0,1,0,ESZ5
2025-11-13T01:07:53.567492905Z,2025-11-13T01:07:53.567378087Z,24,1,42140878,,6942.000000000,9223372036854775807,38814773,11579,8,0,1,0,ESH6
2025-11-13T01:07:53.567874207Z,2025-11-13T01:07:53.567757097Z,24,1,10252,,7063.250000000,9223372036854775807,38814793,13963,8,0,1,0,ESZ6
