ts_recv,ts_event,rtype,publisher_id,instrument_id,raw_symbol,security_update_action,instrument_class,min_price_increment,display_factor,expiration,activation,high_limit_price,low_limit_price,max_price_variation,trading_reference_price,unit_of_measure_qty,min_price_increment_amount,price_ratio,inst_attrib_value,underlying_id,raw_instrument_id,market_depth_implied,market_depth,market_segment_id,max_trade_vol,min_lot_size,min_lot_size_block,min_lot_size_round_lot,min_trade_vol,contract_multiplier,decay_quantity,original_contract_size,trading_reference_date,appl_id,maturity_year,decay_start_date,channel_id,currency,settl_currency,secsubtype,group,exchange,asset,cfi,security_type,unit_of_measure,underlying,strike_price_currency,strike_price,match_algorithm,md_security_trading_status,main_fraction,price_display_format,settl_price_type,sub_fraction,underlying_product,maturity_month,maturity_day,maturity_week,user_defined_instrument,contract_multiplier_unit,flow_schedule_type,tick_rule,symbol
2025-11-13 00:00:00+00:00,2025-11-09 12:01:41.144000+00:00,19,1,196404,ESZ6 C1900,A,C,,0.01,2026-12-18 14:30:00+00:00,2021-09-17 20:25:00+00:00,,0.05,,5059.75,50.0,0.0,,270339,10252,196404,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2026,65535,1,USD,,,EW,XCME,ES,OCAFPS,OOF,IPNT,ESZ6,USD,1900.0,F,255,255,255,3,255,5,12,255,255,N,127,127,15,ESZ6 C1900
2025-11-13 00:00:00+00:00,2025-11-09 12:01:37.494000+00:00,19,1,196387,ESZ5 C1200,A,C,,0.01,2025-12-19 14:30:00+00:00,2021-06-04 20:25:00+00:00,,0.05,,5553.75,50.0,0.0,,270339,294973,196387,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2025,65535,1,USD,,,EW,XCME,ES,OCAFPS,OOF,IPNT,ESZ5,USD,1200.0,F,255,255,255,3,255,5,12,255,255,N,127,127,15,ESZ5 C1200
2025-11-13 00:00:00+00:00,2025-11-11 17:31:29.700505601+00:00,19,1,2555636,UD:1V: 13 2555636,A,T,0.0,0.01,2025-11-14 22:59:00+00:00,2025-11-11 16:35:28+00:00,,,,,,,,287747,0,2555636,0,3,54,3000,10000,0,0,1,2147483647,2147483647,2147483647,65535,323,2025,65535,12,USD,,13,1V,XCME,ES,OMXFPS,OOF,IPNT,,,,F,255,255,255,128,255,255,12,255,255,Y,127,127,15,UD:1V: 13 2555636
2025-11-13 00:00:00+00:00,2025-11-11 16:35:16.749376981+00:00,19,1,2555630,UD:1V: VT 2555630,A,T,0.0,0.01,2025-11-11 22:00:00+00:00,2025-11-11 16:35:16+00:00,,,,,,,,286723,0,2555630,0,3,54,3000,10000,0,0,1,2147483647,2147483647,2147483647,65535,323,2025,65535,12,USD,,VT,1V,XCME,ES,OMXFPS,OOF,IPNT,,,,F,255,255,255,128,255,255,12,255,255,Y,127,127,15,UD:1V: VT 2555630
2025-11-13 00:00:00+00:00,2025-11-12 17:31:28.090025885+00:00,19,1,2590322,UD:1V: 12 2590322,A,T,0.0,0.01,2025-11-12 22:00:00+00:00,2025-11-12 17:31:28+00:00,,,,,,,,287747,0,2590322,0,3,54,3000,10000,0,0,1,2147483647,2147483647,2147483647,65535,323,2025,65535,12,USD,,12,1V,XCME,ES,OMXFPS,OOF,IPNT,,,,F,255,255,255,128,255,255,12,255,255,Y,127,127,15,UD:1V: 12 2590322
2025-11-13 00:00:00+00:00,2025-11-09 12:01:37.544000+00:00,19,1,42467143,ESM7 P3200,A,P,,0.01,2027-06-17 13:30:00+00:00,2025-06-20 20:25:00+00:00,,0.05,,38.0,50.0,0.0,,270339,42140856,42467143,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OPAFPS,OOF,IPNT,ESM7,USD,3200.0,F,255,255,255,3,255,5,6,255,255,N,127,127,15,ESM7 P3200
2025-11-13 00:00:00+00:00,2025-11-09 12:01:41.344000+00:00,19,1,42467154,ESM7 P4600,A,P,,0.01,2027-06-17 13:30:00+00:00,2025-06-20 20:25:00+00:00,,0.05,,111.5,50.0,0.0,,270339,42140856,42467154,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OPAFPS,OOF,IPNT,ESM7,USD,4600.0,F,255,255,255,3,255,5,6,255,255,N,127,127,15,ESM7 P4600
2025-11-13 00:00:00+00:00,2025-11-10 01:07:46.729223071+00:00,19,1,2986496,UD:1V: VT 2986496,A,T,0.0,0.01,2025-11-10 22:00:00+00:00,2025-11-10 01:07:46+00:00,,,,,,,,286723,0,2986496,0,3,54,3000,10000,0,0,1,2147483647,2147483647,2147483647,65535,323,2026,65535,12,USD,,VT,1V,XCME,ES,OMXFPS,OOF,IPNT,,,,F,255,255,255,128,255,255,3,255,255,Y,127,127,15,UD:1V: VT 2986496
2025-11-13 00:00:00+00:00,2025-11-11 16:31:35.055023885+00:00,19,1,2555486,UD:1V: VT 2555486,A,T,0.0,0.01,2025-11-11 22:00:00+00:00,2025-11-11 16:31:32+00:00,,,,,,,,286723,0,2555486,0,3,54,3000,10000,0,0,1,2147483647,2147483647,2147483647,65535,323,2026,65535,12,USD,,VT,1V,XCME,ES,OMXFPS,OOF,IPNT,,,,F,255,255,255,128,255,255,3,255,255,Y,127,127,15,UD:1V: VT 2555486
2025-11-13 00:00:00+00:00,2025-11-11 16:31:21.343970251+00:00,19,1,2555482,UD:1V: VT 2555482,A,T,0.0,0.01,2025-11-11 22:00:00+00:00,2025-11-11 16:31:21+00:00,,,,,,,,286723,0,2555482,0,3,54,3000,10000,0,0,1,2147483647,2147483647,2147483647,65535,323,2026,65535,12,USD,,VT,1V,XCME,ES,OMXFPS,OOF,IPNT,,,,F,255,255,255,128,255,255,3,255,255,Y,127,127,15,UD:1V: VT 2555482
